发起实例,目标实例,互动次数
mstdn.ca,urbanists.social,22
mstdn.ca,mastodon.cloud,6
mstdn.ca,social.tchncs.de,11
mstdn.ca,hackers.town,4
mstdn.ca,ieji.de,4
mstdn.ca,yeg.bike,15
mstdn.ca,ecoevo.social,2
mstdn.ca,mastodon.me.uk,15
mstdn.ca,flipboard.com,41
seal.cafe,decayable.ink,23
fedi.getimiskon.xyz,soc.sekundenklebertransportverbot.de,2
fedi.getimiskon.xyz,fedi.getimiskon.xyz,7
mastodon.xyz,mastodon.xyz,27
toot.krivokuca.dev,toot.krivokuca.dev,4
akko.wtf,java.duke.social,1
akko.wtf,kitsunes.club,1
schmaker.eu,blovice.bahnhof.cz,1
schmaker.eu,libera.site,1
zia.io,retrochat.online,1
inanimate.brainworms.nl,kind.social,1
inanimate.brainworms.nl,inanimate.brainworms.nl,1
lia.fail,piaille.fr,3
popindustry.org,popindustry.org,268
sunny.garden,sunny.garden,176
eientei.org,fluf.club,2
eientei.org,lizards.live,1
eientei.org,strelizia.net,1
eientei.org,ryona.agency,2
follow.agwa.name,mastodon.social,1
gamepad.club,gamepad.club,61
social.chinwag.org,social.chinwag.org,23
xn--baw-joa.social,xn--baw-joa.social,4
annihilation.social,parcero.bond,27
annihilation.social,postnstuffds.lol,35
eientei.org,cyberpunk.lol,1
social.vlhl.dev,woem.space,2
mental.social,mental.social,1249
toad.social,toad.social,101
kirakiratter.com,kirakiratter.com,253
eveningzoo.club,annihilation.social,12
post.ebin.club,polyglot.city,1
post.ebin.club,mastodontti.fi,1
feuerwehr.social,feuerwehr.social,30
xarxa.cloud,xarxa.cloud,79
annihilation.social,eveningzoo.club,19
decayable.ink,annihilation.social,41
donotsta.re,functional.cafe,1
donotsta.re,masto.doskel.net,1
mastodon.au,mastodon.au,31
musician.social,musician.social,15
foresdon.jp,foresdon.jp,61
fedi.aria.dog,woem.men,1
social.shadowkat.net,catwithaclari.net,1
fedi.aria.dog,social.treehouse.systems,2
digitalstuntfactory.com,digitalstuntfactory.com,1
annihilation.social,netzsphaere.xyz,19
annihilation.social,loli.rodeo,1
allthingstech.social,allthingstech.social,4
mstdn.ca,mastodon.au,14
mstdn.ca,pagan.plus,4
mstdn.ca,mastodon.ie,88
mstdn.ca,avgeek.social,1
mstdn.ca,fedi.adamm.cc,14
mstdn.ca,social.chinwag.org,2
shigusegubu.club,tuusin.misono-ya.info,1
shigusegubu.club,furville.drinkanddrive.africa,1
shigusegubu.club,fedi.furfag.biz,8
norwoodzero.net,poa.st,14
shigusegubu.club,netzsphaere.xyz,5
norwoodzero.net,cawfee.club,2
class.lunanova.dev,plasmatrap.com,1
retrochat.online,retrochat.online,3
mapstodon.space,mapstodon.space,39
toot.blue,toot.blue,560
brain.worm.pink,social.karebu.gay,3
expressional.social,expressional.social,22
expressional.social,ieji.de,1
majestic12.airforce,detroitriotcity.com,12
cubhub.social,cubhub.social,252
corteximplant.com,corteximplant.com,204
akko.wtf,akko.wtf,5
fedi.furfag.biz,fedi.furfag.biz,9
fedi.furfag.biz,thicc.horse,4
livellosegreto.it,livellosegreto.it,608
helvede.net,helvede.net,88
aethy.com,aethy.com,337
tinylad.social,mastodon.social,42
ruby.social,ruby.social,133
chaosfem.tw,toot.lgbt,5
col.social,col.social,88
social.vlhl.dev,netzsphaere.xyz,19
social.vlhl.dev,zoner.work,1
social.kernel.org,fosstodon.org,9
social.kernel.org,mastodonczech.cz,3
toot.chez.gay,toot.chez.gay,1
thecanadian.social,thecanadian.social,65
mastodon.de,bonn.social,4
mastodon.de,chaos.social,224
mastodon.de,mastodon.social,1085
mastodon.de,troet.cafe,653
mastodon.de,fem.social,1
mastodon.de,det.social,1
mastodon.de,swiss.social,2
klezmor.im,klezmor.im,2
is.badat.dev,mk.absturztau.be,4
social.earth.li,chaos.social,1
freesoftwareextremist.com,ligma.pro,1
freesoftwareextremist.com,fedi.layer02.net,1
petroskowo.pl,mastodon.nzoss.nz,1
23.social,23.social,4
mstdn.y-zu.org,mstdn.y-zu.org,35
esq.social,esq.social,14
seaofog.com,seaofog.com,18
akko.wtf,fedi.bungle.online,1
pouet.chapril.org,pouet.chapril.org,78
donphan.social,donphan.social,4
mirus.club,mirus.club,8
qdon.space,qdon.space,89
pleroma.soykaf.com,stereophonic.space,1
pleroma.soykaf.com,mk.asie.pl,1
pleroma.soykaf.com,netzsphaere.xyz,2
pleroma.soykaf.com,shitposter.world,5
awoo.fai.st,fedi.xerz.one,1
spinster.xyz,bird.makeup,1
chaosfem.tw,girlcock.club,1
speedlines.stctp.zone,speedlines.stctp.zone,8
kazv.moe,kazv.moe,4
net4sw.com,net4sw.com,31
mstdn.nere9.help,mstdn.nere9.help,145
shitpost.cloud,greatape.casa,1
shitpost.cloud,shitposter.world,7
shitpost.cloud,girlboss.gaslight.love,4
shitpost.cloud,clubcyberia.co,7
goatdaddy.net,goatdaddy.net,1
bookwor.ms,bookwor.ms,53
ludosphere.fr,ludosphere.fr,81
mstdn.ca,mastodon.green,25
mstdn.ca,oliphant.social,1
mstdn.ca,oc.todon.fr,1
mstdn.ca,mstdn.party,9
spinster.xyz,gleasonator.com,1
social.xenofem.me,greatape.casa,1
woof.group,woof.group,324
mstdn.ca,c.im,118
mstdn.ca,mstdn.games,11
mstdn.ca,mstdn.chrisalemany.ca,21
mstdn.ca,tvwatch.party,4
xyzzy.link,ak.ari.lt,2
genomic.social,genomic.social,8
xyzzy.link,desu.social,1
xyzzy.link,mk.absturztau.be,1
urusai.social,urusai.social,70
expressional.social,mstdn.social,171
expressional.social,helvede.net,9
expressional.social,hachyderm.io,43
