发起实例,目标实例,互动次数
expressional.social,toot.fedilab.app,2
furry.engineer,toot.fedilab.app,1
fedia.social,toot.fedilab.app,1
tomkahe.com,toot.fedilab.app,1
mastodon.hardcoredevs.com,toot.fedilab.app,1
metalhead.club,toot.fedilab.app,1
social.tanelpoder.com,soc.kvet.ch,1
fedibird.com,ariesmc21.com,5
mastodon-japan.net,ariesmc21.com,1
mastodon.social,bumscode.com,1
bumscode.com,bumscode.com,2
fosstodon.org,bumscode.com,1
fedibird.com,manohitotoki.com,1
mathstodon.xyz,social.dezinezync.com,1
balkan.fedive.rs,balkan.fedive.rs,3
catcatnya.com,ak.zweitekassabitte.jetzt,3
mastodon.bit.nl,social.secret-wg.org,1
social.secret-wg.org,social.secret-wg.org,1
aus.social,mastodon.spotek.io,1
machteburch.social,aircrew.rocks,1
aircrew.rocks,aircrew.rocks,3
chaos.social,aircrew.rocks,1
mastodon.social,aircrew.rocks,2
indieweb.social,aircrew.rocks,1
norden.social,aircrew.rocks,1
mastodon.green,aircrew.rocks,1
troet.cafe,aircrew.rocks,1
bahn.social,aircrew.rocks,1
fosstodon.org,justme.masto.host,2
mastodon.social,justme.masto.host,1
beige.party,social.taupehat.com,1
chaos.social,drohm.eu,1
lazysocial.de,drohm.eu,1
pfalz.social,drohm.eu,1
dresden.network,drohm.eu,1
norden.social,drohm.eu,1
uri.life,rlidea.com,1
planet.moe,rlidea.com,4
bakedbean.xyz,rlidea.com,2
k.lapy.link,rlidea.com,1
fedibird.com,social.hyuki.net,1
afterspace.rocks,social.skyshaper.org,1
bahn.social,social.skyshaper.org,1
blahaj.social,social.skyshaper.org,1
catcatnya.com,social.skyshaper.org,1
chaos.social,social.skyshaper.org,23
federated.coffee,social.skyshaper.org,1
inductive.space,social.skyshaper.org,1
mastodon.social,social.skyshaper.org,2
mstdn.science,social.skyshaper.org,1
nerdculture.de,social.skyshaper.org,1
norden.social,social.skyshaper.org,4
pounced-on.me,social.skyshaper.org,1
queer.party,social.skyshaper.org,1
schuppentier.social,social.skyshaper.org,1
social.c1710.de,social.skyshaper.org,1
toot.queer-lexikon.net,social.skyshaper.org,1
urbanists.social,social.skyshaper.org,1
zug.network,social.skyshaper.org,3
tweesecake.social,techopolis.social,2
sueden.social,secuwing.social,1
ecologie.social,social.tmprs.net,1
fe.disroot.org,mastodon.codingfield.com,1
fosstodon.org,mastodon.codingfield.com,8
mastodon.social,mastodon.codingfield.com,6
tkz.one,mastodon.codingfield.com,1
mastodon.bayern,mastodon.codingfield.com,2
tilde.zone,mastodon.codingfield.com,1
mas.to,mastodon.codingfield.com,1
mstdn.social,mastodon.codingfield.com,1
oldbytes.space,mastodon.codingfield.com,1
infosec.exchange,mastodon.codingfield.com,1
en.osm.town,mastodon.codingfield.com,1
social.slat.org,mastodon.codingfield.com,1
tooting.ch,mastodon.codingfield.com,1
eldritch.cafe,mastodon.codingfield.com,1
social.kernel.org,mastodon.codingfield.com,1
social.elbullazul.com,mastodon.codingfield.com,1
freeradical.zone,mastodon.codingfield.com,1
mastodon.tedomum.net,mastodon.codingfield.com,1
hachyderm.io,mastodon.codingfield.com,1
nheko.io,mastodon.codingfield.com,1
chaos.social,mastodon.codingfield.com,4
layer8.space,mastodon.codingfield.com,1
mastodon.uno,mastodon.codingfield.com,1
mastodon.online,mastodon.codingfield.com,1
wikis.world,mastodon.codingfield.com,1
spd.social,spd.social,1
d-64.social,spd.social,1
indg.club,microbe.vital.org.nz,2
mastodon.nz,microbe.vital.org.nz,11
mstdn.jp,a.lufimianet.jp,4
pawoo.net,a.lufimianet.jp,3
social.coop,fedi.raventhemaker.com,1
wandering.shop,fedi.raventhemaker.com,1
kinky.business,kinktroet.social,2
nicuverse.org,nicuverse.org,3
hackers.town,mastodon.peterjanes.ca,1
toot.community,omfg.town,1
front-end.social,omfg.town,1
pdx.social,omfg.town,1
mastodon.social,omfg.town,5
ecoevo.social,omfg.town,1
xoxo.zone,omfg.town,1
cosocial.ca,omfg.town,2
ohai.social,manitu.social,1
chitter.xyz,freja.zone,1
yiff.life,freja.zone,1
petrous.vislae.town,freja.zone,1
dice.camp,pie.gd,2
sunny.garden,pie.gd,2
kirche.social,reliverse.social,1
pfalz.social,reliverse.social,1
cofe.rocks,phantomthieves.net,3
snug.moe,phantomthieves.net,3
scottodon.com,tekton.network,1
socl.bz,tekton.network,1
betagravity.com,social.sanfranciscan.org,1
carfree.city,social.sanfranciscan.org,1
mastodon.sdf.org,social.sanfranciscan.org,1
mastodon.social,social.sanfranciscan.org,1
sfba.social,social.sanfranciscan.org,1
troet.cafe,social.sanfranciscan.org,1
mastodon.social,mastodon.grin.hu,2
fosstodon.org,mastodon.grin.hu,1
chaos.social,mastodon.grin.hu,1
mastodon.social,tukkers.online,4
mastodon.nl,tukkers.online,4
ieji.de,tukkers.online,1
sironi.tk,redsnake.io,1
4bear.com,gay.camera,2
mastodon.social,gay.camera,1
fosstodon.org,changelog.social,2
sigmoid.social,changelog.social,1
federate.social,changelog.social,1
poa.st,sogga.top,2
fosstodon.org,social.rossabaker.com,2
oldbytes.space,social.rossabaker.com,1
tech.lgbt,social.rossabaker.com,4
chaos.social,social.rossabaker.com,2
hachyderm.io,social.rossabaker.com,2
mastodon.social,social.rossabaker.com,6
bsky.brid.gy,social.rossabaker.com,1
linuxrocks.online,social.rossabaker.com,1
mastodon.gamedev.place,social.rossabaker.com,2
weserbergland.social,weserbergland.social,10
wetdry.world,sector25.de,2
freeatlantis.com,otr.rocks,1
merveilles.town,sculpin.social,1
xoxo.zone,sculpin.social,1
toot.dusepo.co.uk,sculpin.social,1
pawoo.net,mstdn-huahin.com,3
fedibird.com,mstdn-huahin.com,34
mastodon-japan.net,mstdn-huahin.com,3
mastodon.social,mstdn-huahin.com,7
mstdn.jp,mstdn-huahin.com,6
songbird.cloud,mstdn-huahin.com,3
mstdn.love,mstdn-huahin.com,1
social.vivaldi.net,mstdn-huahin.com,4
toot.blue,mstdn-huahin.com,8
ohai.social,mstdn-huahin.com,2
ohai.social,vivaristics.net,1
mastodon.social,vivaristics.net,1
graz.social,phparch.social,1
mastodon.social,phparch.social,1
phpc.social,phparch.social,1
mastodon.gamedev.place,8bit.red,1
wolfdo.gg,y.diskcat.com,1
lea.pet,y.diskcat.com,1
gts.apicrim.es,y.diskcat.com,3
mspsocial.net,y.diskcat.com,1
meow.social,y.diskcat.com,1
furry.engineer,y.diskcat.com,1
catcatnya.com,y.diskcat.com,1
federation.network,y.diskcat.com,1
chaos.social,y.diskcat.com,2
floofy.tech,y.diskcat.com,1
mamot.fr,masto.krashboyz.org,1
tutut.delire.party,masto.krashboyz.org,1
mitra.taihou.website,aklp.club,1
mastodon.social,masto.machlis.com,5
mastodon.green,masto.machlis.com,1
datasci.social,masto.machlis.com,1
datavis.social,masto.machlis.com,1
fosstodon.org,masto.machlis.com,3
mas.to,masto.machlis.com,1
hachyderm.io,masto.machlis.com,2
rstats.me,masto.machlis.com,1
scicomm.xyz,masto.machlis.com,1
toot.community,masto.machlis.com,1
mastodon.social,social.heiber.im,2
podcasts.social,social.densco.net,1
mastodon.social,nashtodon.com,1
fosstodon.org,mastodon.cooleysekula.net,1
mastodon.social,mastodon.cooleysekula.net,3
octodon.social,mastodon.cooleysekula.net,1
mastodon.social,barelysocial.org,1
o3o.ca,neo.gyara.moe,1
mastodon.social,neo.gyara.moe,1
mastodon.social,subculture.chat,18
indieweb.social,subculture.chat,1
infosec.exchange,subculture.chat,2
spezi.social,subculture.chat,1
sfba.social,subculture.chat,2
masto.98degrees.co.uk,subculture.chat,1
dementedandsadbut.social,social.semiotic.systems,1
mastodon.xyz,social.semiotic.systems,1
mitra.social,mastodon.communick.com,1
norbertmarteau.fr,norbertmarteau.fr,2
digitalcourage.social,akk.fedcast.ch,2
mastodon.de,akk.fedcast.ch,1
mastodon.social,akk.fedcast.ch,7
